points,value,error
1000, 0.525, 0.0015000000
1001, 0.53046953, 0.0069695300
1002, 0.53193613, 0.0084361300
1003, 0.51345962, -0.010040380
1004, 0.49701195, -0.026488050
1005, 0.50447761, -0.019022390
1006, 0.52584493, 0.0023449300
1007, 0.53624628, 0.012746280
1008, 0.51984127, -0.0036587300
1009, 0.49950446, -0.023995540
1010, 0.50891089, -0.014589110
1011, 0.52225519, -0.0012448100
1012, 0.51086957, -0.012630430
1013, 0.53208292, 0.0085829200
1014, 0.52071006, -0.0027899400
1015, 0.54679803, 0.023298030
1016, 0.52952756, 0.0060275600
1017, 0.52015733, -0.0033426700
1018, 0.53536346, 0.011863460
1019, 0.53385672, 0.010356720
1020, 0.51078431, -0.012715690
1021, 0.51909892, -0.0044010800
1022, 0.52054795, -0.0029520500
1023, 0.53861193, 0.015111930
1024, 0.51757812, -0.0059218800
1025, 0.52487805, 0.0013780500
1026, 0.51656920, -0.0069308000
1027, 0.51898734, -0.0045126600
1028, 0.56809339, 0.044593390
1029, 0.49562682, -0.027873180
1030, 0.51553398, -0.0079660200
1031, 0.50242483, -0.021075170
1032, 0.54457364, 0.021073640
1033, 0.53630203, 0.012802030
1034, 0.51547389, -0.0080261100
1035, 0.51207729, -0.011422710
1036, 0.54922780, 0.025727800
1037, 0.51687560, -0.0066244000
1038, 0.53853565, 0.015035650
1039, 0.53897979, 0.015479790
1040, 0.49615385, -0.027346150
1041, 0.53218060, 0.0086806000
1042, 0.50863724, -0.014862760
1043, 0.52732502, 0.0038250200
1044, 0.55651341, 0.033013410
1045, 0.52631579, 0.0028157900
1046, 0.50095602, -0.022543980
1047, 0.49188157, -0.031618430
1048, 0.50763359, -0.015866410
1049, 0.50905624, -0.014443760
1050, 0.53714286, 0.013642860
1051, 0.55280685, 0.029306850
1052, 0.55893536, 0.035435360
1053, 0.54985755, 0.026357550
1054, 0.53605313, 0.012553130
1055, 0.51753555, -0.0059644500
1056, 0.49147727, -0.032022730
1057, 0.51371807, -0.0097819300
1058, 0.51701323, -0.0064867700
1059, 0.50330500, -0.020195000
1060, 0.51226415, -0.011235850
1061, 0.52403393, 0.00053393000
1062, 0.50941620, -0.014083800
1063, 0.53245532, 0.0089553200
1064, 0.50469925, -0.018800750
1065, 0.53615023, 0.012650230
1066, 0.53470919, 0.011209190
1067, 0.53327085, 0.0097708500
1068, 0.55056180, 0.027061800
1069, 0.51730589, -0.0061941100
1070, 0.53177570, 0.0082757000
1071, 0.53594771, 0.012447710
1072, 0.51585821, -0.0076417900
1073, 0.51537745, -0.0081225500
1074, 0.52234637, -0.0011536300
1075, 0.54046512, 0.016965120
1076, 0.50278810, -0.020711900
1077, 0.53760446, 0.014104460
1078, 0.54359926, 0.020099260
1079, 0.52826691, 0.0047669100
1080, 0.51851852, -0.0049814800
1081, 0.51248844, -0.011011560
1082, 0.51109057, -0.012409430
1083, 0.54478301, 0.021283010
1084, 0.53690037, 0.013400370
1085, 0.51336406, -0.010135940
1086, 0.48710866, -0.036391340
1087, 0.53081877, 0.0073187700
1088, 0.52573529, 0.0022352900
1089, 0.53994490, 0.016444900
1090, 0.52844037, 0.0049403700
1091, 0.52978918, 0.0062891800
1092, 0.50824176, -0.015258240
1093, 0.52881976, 0.0053197600
1094, 0.50731261, -0.016187390
1095, 0.51963470, -0.0038653000
1096, 0.52372263, 0.00022263000
1097, 0.51321787, -0.010282130
1098, 0.51001821, -0.013481790
1099, 0.52229299, -0.0012070100
1100, 0.53727273, 0.013772730
1101, 0.51407811, -0.0094218900
1102, 0.52450091, 0.0010009100
1103, 0.50951949, -0.013980510
1104, 0.52445652, 0.00095652000
1105, 0.54027149, 0.016771490
1106, 0.49728752, -0.026212480
1107, 0.51942186, -0.0040781400
1108, 0.51714801, -0.0063519900
1109, 0.53651939, 0.013019390
1110, 0.52522523, 0.0017252300
1111, 0.52925293, 0.0057529300
1112, 0.48651079, -0.036989210
1113, 0.55166217, 0.028162170
1114, 0.52962298, 0.0061229800
1115, 0.52466368, 0.0011636800
1116, 0.51075269, -0.012747310
1117, 0.51656222, -0.0069377800
1118, 0.53667263, 0.013172630
1119, 0.51563896, -0.0078610400
1120, 0.52410714, 0.00060714000
1121, 0.52096343, -0.0025365700
1122, 0.50980392, -0.013696080
1123, 0.51024043, -0.013259570
1124, 0.52135231, -0.0021476900
1125, 0.49866667, -0.024833330
1126, 0.53019538, 0.0066953800
1127, 0.51552795, -0.0079720500
1128, 0.54964539, 0.026145390
1129, 0.54295837, 0.019458370
1130, 0.52743363, 0.0039336300
1131, 0.55172414, 0.028224140
1132, 0.52826855, 0.0047685500
1133, 0.54192410, 0.018424100
1134, 0.53791887, 0.014418870
1135, 0.53215859, 0.0086585900
1136, 0.55633803, 0.032838030
1137, 0.53210202, 0.0086020200
1138, 0.52987698, 0.0063769800
1139, 0.52941176, 0.0059117600
1140, 0.53684211, 0.013342110
1141, 0.52410167, 0.00060167000
1142, 0.52714536, 0.0036453600
1143, 0.52668416, 0.0031841600
1144, 0.52884615, 0.0053461500
1145, 0.49432314, -0.029176860
1146, 0.53490401, 0.011404010
1147, 0.51351351, -0.0099864900
1148, 0.53397213, 0.010472130
1149, 0.51348999, -0.010010010
1150, 0.5, -0.023500000
1151, 0.51694179, -0.0065582100
1152, 0.51041667, -0.013083330
1153, 0.52732003, 0.0038200300
1154, 0.54072790, 0.017227900
1155, 0.51774892, -0.0057510800
1156, 0.53460208, 0.011102080
1157, 0.52636128, 0.0028612800
1158, 0.53626943, 0.012769430
1159, 0.52113891, -0.0023610900
1160, 0.53965517, 0.016155170
1161, 0.54866494, 0.025164940
1162, 0.53442341, 0.010923410
1163, 0.51590714, -0.0075928600
1164, 0.50343643, -0.020063570
1165, 0.54077253, 0.017272530
1166, 0.53516295, 0.011662950
1167, 0.49443016, -0.029069840
1168, 0.50684932, -0.016650680
1169, 0.52780154, 0.0043015400
1170, 0.53076923, 0.0072692300
1171, 0.53287788, 0.0093778800
1172, 0.50597270, -0.017527300
1173, 0.52855925, 0.0050592500
1174, 0.51362862, -0.0098713800
1175, 0.52085106, -0.0026489400
1176, 0.52125850, -0.0022415000
1177, 0.49362787, -0.029872130
1178, 0.53056027, 0.0070602700
1179, 0.49279050, -0.030709500
1180, 0.52203390, -0.0014661000
1181, 0.52243861, -0.0010613900
1182, 0.50084602, -0.022653980
1183, 0.53846154, 0.014961540
1184, 0.53800676, 0.014506760
1185, 0.53080169, 0.0073016900
1186, 0.50337268, -0.020127320
1187, 0.52485257, 0.0013525700
1188, 0.52020202, -0.0032979800
1189, 0.53322119, 0.0097211900
1190, 0.52268908, -0.00081092000
1191, 0.51637280, -0.0071272000
1192, 0.52097315, -0.0025268500
1193, 0.53310981, 0.0096098100
1194, 0.53266332, 0.0091633200
1195, 0.53640167, 0.012901670
1196, 0.50585284, -0.017647160
1197, 0.52882206, 0.0053220600
1198, 0.51752922, -0.0059707800
1199, 0.51876564, -0.0047343600
1200, 0.5175, -0.0060000000
1201, 0.53538718, 0.011887180
1202, 0.57570715, 0.052207150
1203, 0.52867830, 0.0051783000
1204, 0.51827243, -0.0052275700
